date,state,demand
2006-01-01T00:00:00Z,NSW,6336.496876
2006-01-01T00:30:00Z,NSW,6035.733284
2006-01-01T01:00:00Z,NSW,5674.367378
2006-01-01T01:30:00Z,NSW,5366.360764
2006-01-01T02:00:00Z,NSW,5129.603972
2006-01-01T02:30:00Z,NSW,4947.830162
2006-01-01T03:00:00Z,NSW,4821.533484
2006-01-01T03:30:00Z,NSW,4737.958168
2006-01-01T04:00:00Z,NSW,4712.281552
2006-01-01T04:30:00Z,NSW,4648.230828
2006-01-01T05:00:00Z,NSW,4669.29799
2006-01-01T05:30:00Z,NSW,4791.890652
2006-01-01T06:00:00Z,NSW,5008.450498
2006-01-01T06:30:00Z,NSW,5370.317774
2006-01-01T07:00:00Z,NSW,5826.751134
2006-01-01T07:30:00Z,NSW,6347.509754
2006-01-01T08:00:00Z,NSW,6920.65125
2006-01-01T08:30:00Z,NSW,7480.564866
2006-01-01T09:00:00Z,NSW,7949.534014
2006-01-01T09:30:00Z,NSW,8356.116216
2006-01-01T10:00:00Z,NSW,8621.12862
2006-01-01T10:30:00Z,NSW,8862.743224
2006-01-01T11:00:00Z,NSW,9014.064798
2006-01-01T11:30:00Z,NSW,9124.697074
2006-01-01T12:00:00Z,NSW,9210.138686
2006-01-01T12:30:00Z,NSW,9233.764324
2006-01-01T13:00:00Z,NSW,9258.158834
2006-01-01T13:30:00Z,NSW,9259.05631
2006-01-01T14:00:00Z,NSW,9291.043786
2006-01-01T14:30:00Z,NSW,9330.203516
2006-01-01T15:00:00Z,NSW,9383.882936
2006-01-01T15:30:00Z,NSW,9409.730386
2006-01-01T16:00:00Z,NSW,9391.258392
2006-01-01T16:30:00Z,NSW,9446.560664
2006-01-01T17:00:00Z,NSW,9463.793038
2006-01-01T17:30:00Z,NSW,9462.75761
2006-01-01T18:00:00Z,NSW,9384.186872
2006-01-01T18:30:00Z,NSW,9311.986516
2006-01-01T19:00:00Z,NSW,9360.82042
2006-01-01T19:30:00Z,NSW,9492.605212
2006-01-01T20:00:00Z,NSW,9198.595264
2006-01-01T20:30:00Z,NSW,8577.975366
2006-01-01T21:00:00Z,NSW,8140.586276
2006-01-01T21:30:00Z,NSW,7645.167678
2006-01-01T22:00:00Z,NSW,7193.784184
2006-01-01T22:30:00Z,NSW,6738.431736
2006-01-01T23:00:00Z,NSW,6351.561272
2006-01-01T23:30:00Z,NSW,6060.08725
2006-01-02T00:00:00Z,NSW,5762.154464
2006-01-02T00:30:00Z,NSW,5510.978162
2006-01-02T01:00:00Z,NSW,5195.83202
2006-01-02T01:30:00Z,NSW,4976.633918
2006-01-02T02:00:00Z,NSW,4819.962658
2006-01-02T02:30:00Z,NSW,4737.125046
2006-01-02T03:00:00Z,NSW,4699.699784
2006-01-02T03:30:00Z,NSW,4686.07538
2006-01-02T04:00:00Z,NSW,4747.302184
2006-01-02T04:30:00Z,NSW,4775.044436
2006-01-02T05:00:00Z,NSW,4909.961594
2006-01-02T05:30:00Z,NSW,4987.742056
2006-01-02T06:00:00Z,NSW,5096.237974
2006-01-02T06:30:00Z,NSW,5303.15063
2006-01-02T07:00:00Z,NSW,5514.719472
2006-01-02T07:30:00Z,NSW,5752.918436
2006-01-02T08:00:00Z,NSW,6019.82443
2006-01-02T08:30:00Z,NSW,6240.05469
2006-01-02T09:00:00Z,NSW,6450.186664
2006-01-02T09:30:00Z,NSW,6543.683588
2006-01-02T10:00:00Z,NSW,6586.362246
2006-01-02T10:30:00Z,NSW,6619.053116
2006-01-02T11:00:00Z,NSW,6614.172764
2006-01-02T11:30:00Z,NSW,6589.720556
2006-01-02T12:00:00Z,NSW,6597.33108
2006-01-02T12:30:00Z,NSW,6576.846884
2006-01-02T13:00:00Z,NSW,6565.854822
2006-01-02T13:30:00Z,NSW,6555.12439
2006-01-02T14:00:00Z,NSW,6567.39801
2006-01-02T14:30:00Z,NSW,6584.804484
2006-01-02T15:00:00Z,NSW,6594.217252
2006-01-02T15:30:00Z,NSW,6608.057416
2006-01-02T16:00:00Z,NSW,6636.603896
2006-01-02T16:30:00Z,NSW,6687.024942
2006-01-02T17:00:00Z,NSW,6638.58751
2006-01-02T17:30:00Z,NSW,6600.067336
2006-01-02T18:00:00Z,NSW,6487.550862
2006-01-02T18:30:00Z,NSW,6391.60278
2006-01-02T19:00:00Z,NSW,6409.659432
2006-01-02T19:30:00Z,NSW,6520.167768
2006-01-02T20:00:00Z,NSW,6361.57919
2006-01-02T20:30:00Z,NSW,6136.744854
2006-01-02T21:00:00Z,NSW,6175.439768
2006-01-02T21:30:00Z,NSW,6070.344768
2006-01-02T22:00:00Z,NSW,6016.096874
2006-01-02T22:30:00Z,NSW,5870.631578
2006-01-02T23:00:00Z,NSW,5697.5722
2006-01-02T23:30:00Z,NSW,5515.07458
2006-01-03T00:00:00Z,NSW,5319.478026
2006-01-03T00:30:00Z,NSW,5112.333046
2006-01-03T01:00:00Z,NSW,4790.71788
2006-01-03T01:30:00Z,NSW,4512.217988
2006-01-03T02:00:00Z,NSW,4365.174874
2006-01-03T02:30:00Z,NSW,4292.945708
2006-01-03T03:00:00Z,NSW,4277.748698
2006-01-03T03:30:00Z,NSW,4342.202042
2006-01-03T04:00:00Z,NSW,4475.612892
2006-01-03T04:30:00Z,NSW,4647.918956
2006-01-03T05:00:00Z,NSW,5026.260638
2006-01-03T05:30:00Z,NSW,5423.744376
2006-01-03T06:00:00Z,NSW,5789.385376
2006-01-03T06:30:00Z,NSW,6208.2994420000005
2006-01-03T07:00:00Z,NSW,6695.929378
2006-01-03T07:30:00Z,NSW,7132.907854
2006-01-03T08:00:00Z,NSW,7604.297522
2006-01-03T08:30:00Z,NSW,7863.444504
2006-01-03T09:00:00Z,NSW,8069.187646
2006-01-03T09:30:00Z,NSW,8236.264638
2006-01-03T10:00:00Z,NSW,8376.496102
2006-01-03T10:30:00Z,NSW,8516.223494
2006-01-03T11:00:00Z,NSW,8657.854908
2006-01-03T11:30:00Z,NSW,8791.420592
2006-01-03T12:00:00Z,NSW,8906.402698
2006-01-03T12:30:00Z,NSW,8968.04168
2006-01-03T13:00:00Z,NSW,9034.079552
2006-01-03T13:30:00Z,NSW,9107.236716
2006-01-03T14:00:00Z,NSW,9118.361008
2006-01-03T14:30:00Z,NSW,9100.531374
2006-01-03T15:00:00Z,NSW,9077.793458
2006-01-03T15:30:00Z,NSW,9023.935242
2006-01-03T16:00:00Z,NSW,8820.765748
2006-01-03T16:30:00Z,NSW,8602.838812
2006-01-03T17:00:00Z,NSW,8209.961496
2006-01-03T17:30:00Z,NSW,7904.730068
2006-01-03T18:00:00Z,NSW,7562.089814
2006-01-03T18:30:00Z,NSW,7282.4935160000005
2006-01-03T19:00:00Z,NSW,7238.403232
2006-01-03T19:30:00Z,NSW,7220.6253
2006-01-03T20:00:00Z,NSW,7000.509784
2006-01-03T20:30:00Z,NSW,6699.894526
2006-01-03T21:00:00Z,NSW,6653.917822
2006-01-03T21:30:00Z,NSW,6498.422332
2006-01-03T22:00:00Z,NSW,6395.038824
2006-01-03T22:30:00Z,NSW,6214.321728
2006-01-03T23:00:00Z,NSW,6026.903612
2006-01-03T23:30:00Z,NSW,5810.667176
2006-01-04T00:00:00Z,NSW,5600.255922
2006-01-04T00:30:00Z,NSW,5358.684834
2006-01-04T01:00:00Z,NSW,5018.256606
2006-01-04T01:30:00Z,NSW,4728.327794
2006-01-04T02:00:00Z,NSW,4560.426052
2006-01-04T02:30:00Z,NSW,4488.762312
2006-01-04T03:00:00Z,NSW,4470.344052
2006-01-04T03:30:00Z,NSW,4500.912092
2006-01-04T04:00:00Z,NSW,4641.220286
2006-01-04T04:30:00Z,NSW,4836.356772
2006-01-04T05:00:00Z,NSW,5202.98122
2006-01-04T05:30:00Z,NSW,5532.26812
2006-01-04T06:00:00Z,NSW,5825.254454
2006-01-04T06:30:00Z,NSW,6191.83963
2006-01-04T07:00:00Z,NSW,6537.604614
2006-01-04T07:30:00Z,NSW,6823.040694
2006-01-04T08:00:00Z,NSW,7146.397166
2006-01-04T08:30:00Z,NSW,7270.721806
2006-01-04T09:00:00Z,NSW,7313.84907
2006-01-04T09:30:00Z,NSW,7333.558154
2006-01-04T10:00:00Z,NSW,7309.484558
2006-01-04T10:30:00Z,NSW,7337.09861
2006-01-04T11:00:00Z,NSW,7300.014084
2006-01-04T11:30:00Z,NSW,7290.493832
2006-01-04T12:00:00Z,NSW,7291.335074
2006-01-04T12:30:00Z,NSW,7243.03829
2006-01-04T13:00:00Z,NSW,7224.634458
2006-01-04T13:30:00Z,NSW,7180.385706
2006-01-04T14:00:00Z,NSW,7172.86211
2006-01-04T14:30:00Z,NSW,7169.427824
2006-01-04T15:00:00Z,NSW,7187.874184
2006-01-04T15:30:00Z,NSW,7189.686806
2006-01-04T16:00:00Z,NSW,7183.800196
2006-01-04T16:30:00Z,NSW,7123.920426
2006-01-04T17:00:00Z,NSW,6913.022876
2006-01-04T17:30:00Z,NSW,6838.6745
2006-01-04T18:00:00Z,NSW,6638.397918
2006-01-04T18:30:00Z,NSW,6514.752004
2006-01-04T19:00:00Z,NSW,6533.590952
2006-01-04T19:30:00Z,NSW,6594.174412
