timestamp,temp,dewpoint_temp,wind_speed,mean_sea_level_pressure,relative_humidity,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,temp_station
2016-01-01T00:00:00Z,24.84,15.21,3.91,101324.5,0.55,731.5,359.8,0.98,C
2016-01-01T01:00:00Z,25.7,14.6,4.05,101296.66,0.5,884.37,358.69,0.99,B
2016-01-01T02:00:00Z,26.32,14.03,4.1,101267.16,0.47,949.58,363.66,1,C
2016-01-01T03:00:00Z,25.95,13.99,4.71,101276.31,0.48,947.39,362.15,1,B
2016-01-01T04:00:00Z,25.66,13.92,5.37,101257.61,0.48,874.24,363.68,1,A
2016-01-01T05:00:00Z,24.97,13.83,5.71,101254.24,0.5,770.06,373.04,1,A
2016-01-01T06:00:00Z,23.3,13.79,5.55,101293.05,0.55,544.34,363.28,1,A
2016-01-01T07:00:00Z,23.48,13.77,5.2,101325.16,0.54,359.51,371.92,1,B
2016-01-01T08:00:00Z,22.18,14.66,5.12,101361.64,0.62,224.63,367.97,0.99,A
2016-01-01T09:00:00Z,21.64,15.26,5.08,101422.34,0.67,85.46,362.4,1,B
2016-01-01T10:00:00Z,18.82,15.24,4.63,101482.63,0.8,11.35,359.68,1,B
2016-01-01T11:00:00Z,18.32,15.23,4.63,101544.85,0.82,0,355.84,1,C
2016-01-01T12:00:00Z,17.63,14.95,4,101577.7,0.84,0,353.41,1,C
2016-01-01T13:00:00Z,17.75,14.9,3.97,101568.01,0.83,0,357.93,0.98,C
2016-01-01T14:00:00Z,17.25,14.66,3.96,101548.06,0.85,0,351.41,0.94,A
2016-01-01T15:00:00Z,16.62,14.17,4.11,101522.37,0.85,0,361.35,0.95,B
2016-01-01T16:00:00Z,16.73,14.26,4.25,101522.09,0.85,0,370.88,0.98,B
2016-01-01T17:00:00Z,16.61,13.8,4.1,101517.53,0.84,0,384.77,0.93,B
2016-01-01T18:00:00Z,16.41,13.53,3.93,101544.35,0.83,0,373.97,0.94,A
2016-01-01T19:00:00Z,16.55,13.41,3.6,101571.43,0.82,0,377.71,0.98,C
2016-01-01T20:00:00Z,16.85,13.43,3.08,101596.83,0.8,20.88,374.29,0.86,B
