date,NSW,VIC,QLD,SA,TAS
2002-01-01T00:00:00Z,5714.045004,3535.867064,3382.041342,1191.078014,315.915504
2002-01-01T00:30:00Z,5360.189078,3383.499028,3288.315794,1219.589472,306.245864
2002-01-01T01:00:00Z,5014.835118,3655.527552,3172.329022,1119.173498,305.762576
2002-01-01T01:30:00Z,4602.755516,3510.446636,3020.312986,1016.407248,295.602196
2002-01-01T02:00:00Z,4285.179828,3294.697156,2918.082882,923.499578,290.44707
2002-01-01T02:30:00Z,4074.894442,3111.845838,2839.923882,855.867986,282.57759
2002-01-01T03:00:00Z,3942.936134,2967.892586,2810.689154,804.80413,277.69208
2002-01-01T03:30:00Z,3883.997482,2847.645242,2768.326638,778.998098,275.753874
2002-01-01T04:00:00Z,3877.679938,2769.240062,2738.258968,758.394266,278.291842
2002-01-01T04:30:00Z,3837.716602,2728.49286,2727.97564,747.304818,272.943852
2002-01-01T05:00:00Z,3897.023942,2688.516606,2730.733182,748.58575,276.321004
2002-01-01T05:30:00Z,3964.149742,2697.334454,2759.757436,727.31066,285.909406
2002-01-01T06:00:00Z,4036.139836,2765.932788,2834.16837,727.925764,307.05393
2002-01-01T06:30:00Z,4245.776094,2808.799102,2972.05249,725.562598,319.948486
2002-01-01T07:00:00Z,4503.46147,2707.970464,3128.22936,751.361364,317.9258
2002-01-01T07:30:00Z,4773.508194,2749.80017,3306.645576,746.148796,337.893218
2002-01-01T08:00:00Z,5105.502952,2817.77094,3487.557754,760.40388600000006,366.229078
2002-01-01T08:30:00Z,5387.25472,2880.38106,3627.602212,780.931318,381.917356
2002-01-01T09:00:00Z,5593.59965,2938.425884,3709.966502,803.033762,395.81519
2002-01-01T09:30:00Z,5787.18208,2999.91173,3835.53481,809.968922,403.38167
2002-01-01T10:00:00Z,5929.757306,3042.307434,3930.46362,828.612846,407.447476
2002-01-01T10:30:00Z,6063.754658,3062.617608,3973.143204,845.599676,406.74458
2002-01-01T11:00:00Z,6183.790812,3083.040352,4012.74531,853.938866,407.743764
2002-01-01T11:30:00Z,6261.027064,3064.28066,4061.631662,864.330096,409.235954
2002-01-01T12:00:00Z,6315.720632,3050.9403820000002,4082.036424,855.240334,399.717516
2002-01-01T12:30:00Z,6358.840842,3028.767334,4071.331376,872.564402,380.74951
2002-01-01T13:00:00Z,6337.851854,3017.533044,4075.653864,857.93152,376.316608
2002-01-01T13:30:00Z,6404.352896,3004.483518,4079.413378,871.276328,378.970658
