date,NSW,VIC,QLD,SA,TAS
2010-01-01T00:00:00Z,5994.948601281,4253.792838,3907.839734,1351.83896,365.27041
2010-01-01T00:30:00Z,5698.343574797,4060.655844,3783.253954,1287.12256,352.3787
2010-01-01T01:00:00Z,5356.876617391,4248.16175,3660.2219020000002,1175.271768,341.988396
2010-01-01T01:30:00Z,5009.472908187,4019.025546,3515.2077,1091.674792,331.106044
2010-01-01T02:00:00Z,4749.820492469,3779.188516,3391.077498,1039.186802,321.245478
2010-01-01T02:30:00Z,4595.739038562,3615.339928,3320.423762,1002.535868,317.386458
2010-01-01T03:00:00Z,4478.195742203,3506.145776,3287.957272,973.67744,314.879814
2010-01-01T03:30:00Z,4431.405884141,3445.901744,3263.992946,960.451408,314.356498
2010-01-01T04:00:00Z,4442.358688766,3431.083054,3257.036506,946.263588,313.195342
2010-01-01T04:30:00Z,4432.090607516,3436.11658,3224.183856,941.618856,311.19546
2010-01-01T05:00:00Z,4470.4161685,3440.826162,3204.108314,936.16727,315.765376
2010-01-01T05:30:00Z,4584.135303922,3459.005382,3254.59608,916.834872,326.267692
2010-01-01T06:00:00Z,4707.943153766,3561.355528,3396.45586,916.596172,340.250216
2010-01-01T06:30:00Z,4948.493653453,3655.983422,3508.120534,942.355238,360.319568
2010-01-01T07:00:00Z,5188.036061859,3682.486336,3711.212086,969.61468,381.905886
2010-01-01T07:30:00Z,5396.707233828,3750.244428,3919.30298,980.128736,403.593438
2010-01-01T08:00:00Z,5700.616495859,3819.662158,4120.198726,1008.052536,422.029384
2010-01-01T08:30:00Z,5922.169512969,3895.138336,4280.47007,1040.256314,439.294348
2010-01-01T09:00:00Z,6109.076199156,3985.871794,4423.294868,1076.566912,443.814466
2010-01-01T09:30:00Z,6248.525556687,4058.462862,4549.69828,1109.223768,448.973898
2010-01-01T10:00:00Z,6337.800303406,4124.58158,4617.13074,1141.463636,449.333488
2010-01-01T10:30:00Z,6443.031171375,4171.338934,4696.779664,1167.623934,445.646262
2010-01-01T11:00:00Z,6487.903852375,4206.3084,4754.022762,1204.420242,442.023012
2010-01-01T11:30:00Z,6554.457446125,4205.57405,4775.869554,1246.419774,434.667912
2010-01-01T12:00:00Z,6628.633530094,4202.454274,4809.676708,1280.42527,427.040166
2010-01-01T12:30:00Z,6665.469446984,4191.867442,4819.93793,1304.990186,420.515556
2010-01-01T13:00:00Z,6725.023089766,4170.260164,4823.28086,1323.89658,417.115648
2010-01-01T13:30:00Z,6754.846461016,4168.522496,4810.215998,1354.07262,412.975234
2010-01-01T14:00:00Z,6765.373442609,4180.134982,4784.072844,1362.855234,415.923378
2010-01-01T14:30:00Z,6798.903824266,4208.403842,4757.251066,1379.782136,418.960738
2010-01-01T15:00:00Z,6857.321037312,4248.367168,4742.85618,1393.285422,422.741464
2010-01-01T15:30:00Z,6928.896917656,4307.41201,4722.598788,1406.162542,430.012058
2010-01-01T16:00:00Z,7003.921682703,4371.7578,4745.493296,1409.658222,443.096654
2010-01-01T16:30:00Z,7078.634953031,4420.30502,4776.571554,1417.595374,450.92403
2010-01-01T17:00:00Z,7010.168009391,4403.797932,4805.182202,1409.817484,449.837018
2010-01-01T17:30:00Z,6921.097230516,4344.023982,4840.514248,1384.50338,452.99442
2010-01-01T18:00:00Z,6787.605674328,4282.769432,4760.373468,1347.448418,457.230138
2010-01-01T18:30:00Z,6699.338557625,4224.777846,4797.655316,1305.372646,455.203326
2010-01-01T19:00:00Z,6693.466676297,4165.82706,4806.10437,1259.305072,456.81764
2010-01-01T19:30:00Z,6782.716704375,4174.049398,4783.235064,1221.288312,458.22912
2010-01-01T20:00:00Z,6700.304378641,4252.233964,4740.339254,1212.337334,467.56588
2010-01-01T20:30:00Z,6498.161383641,4191.026198,4659.70931,1210.900892,458.727208
2010-01-01T21:00:00Z,6519.876519422,4076.987852,4676.208416,1179.10502,442.415108
2010-01-01T21:30:00Z,6448.152962969,3933.483788,4497.601464,1152.11428,418.943074
2010-01-01T22:00:00Z,6357.942205828,3827.844182,4358.668556,1124.100288,392.410486
2010-01-01T22:30:00Z,6227.599668344,3735.37163,4257.308442,1114.8014680000001,368.893784
2010-01-01T23:00:00Z,5995.820109922,3983.532044,4146.835776,1085.94546,355.74086
2010-01-01T23:30:00Z,5759.520786625,3878.618108,3981.841838,1229.099672,350.707434
2010-01-02T00:00:00Z,5514.823003781,3700.913236,3769.495688,1174.389258,337.791092
2010-01-02T00:30:00Z,5288.879198328,3562.736334,3590.20169,1127.52976,326.808064
2010-01-02T01:00:00Z,4959.822527594,3844.700858,3436.156416,1032.756766,320.841668
2010-01-02T01:30:00Z,4701.830207062,3726.04677,3310.589758,958.66705,316.045646
2010-01-02T02:00:00Z,4548.25783525,3551.195496,3244.766072,916.595876,313.551364
2010-01-02T02:30:00Z,4446.556211937,3399.967198,3211.08976,890.979074,313.065788
2010-01-02T03:00:00Z,4402.234474297,3323.25015,3192.32595,885.645138,312.831978
2010-01-02T03:30:00Z,4402.743320312,3270.700762,3195.479906,883.546874,314.97633
2010-01-02T04:00:00Z,4450.608626547,3268.647012,3217.277172,876.494626,315.84832
2010-01-02T04:30:00Z,4484.799427937,3266.265504,3207.549282,887.15338,315.679252
2010-01-02T05:00:00Z,4567.067473812,3322.222288,3230.862558,889.274224,322.956226
